class,cap-shape,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat
e,x,n,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
e,f,n,f,n,f,w,b,k,t,e,s,f,w,w,o,e,k,a,g
p,f,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,n,v,g
p,f,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,v,g
e,f,g,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,k,t,e,f,s,w,w,o,e,k,a,g
e,x,n,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,s,g
e,x,n,t,n,f,c,b,w,t,b,s,s,w,g,o,p,k,v,d
e,x,n,t,n,f,c,b,n,t,b,s,s,g,w,o,p,n,v,d
e,f,w,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,f,w,f,n,f,w,b,n,t,e,f,s,w,w,o,e,n,s,g
e,x,w,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
e,x,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,n,m
e,f,g,f,n,f,w,b,n,t,e,f,f,w,w,o,e,n,a,g
e,x,w,f,n,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g
e,x,n,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,n,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
e,x,w,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,n,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,s,g
e,x,g,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,f,w,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g
e,x,n,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
e,f,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g
e,f,w,f,n,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
e,x,w,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,f,g,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,n,g
e,x,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,x,w,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
p,x,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,s,g
e,x,w,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
p,x,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,s,u
e,x,g,t,n,f,c,b,n,t,b,s,s,p,g,o,p,n,v,d
p,f,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,v,u
e,x,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,s,g
e,x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,n,m
e,f,n,t,l,f,c,b,n,e,r,s,y,w,w,o,p,n,y,p
e,x,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,s,g
e,f,n,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,a,g
e,f,n,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,s,g
e,f,n,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g
e,x,g,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,s,g
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,x,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
e,x,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,s,m
p,f,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,v,g
e,f,w,f,n,f,w,b,p,t,e,f,f,w,w,o,e,k,s,g
e,f,n,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,s,g
e,f,g,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,f,g,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,s,g
e,x,n,t,n,f,c,b,p,t,b,s,s,g,w,o,p,n,y,d
e,x,n,t,n,f,c,b,n,t,b,s,s,g,g,o,p,k,y,d
e,x,y,t,a,f,c,b,n,e,r,s,y,w,w,o,p,n,y,p
e,x,g,t,n,f,c,b,w,t,b,s,s,p,p,o,p,k,y,d
e,f,g,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g
e,f,n,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,s,g
e,f,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,a,g
e,x,g,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
e,f,w,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,s,g
e,f,g,f,n,f,w,b,n,t,e,f,s,w,w,o,e,n,a,g
e,x,g,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
e,x,n,t,n,f,c,b,w,t,b,s,s,w,g,o,p,k,y,d
e,f,w,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,s,g
e,f,n,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
p,f,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,s,g
e,x,n,t,n,f,c,b,n,t,b,s,s,p,w,o,p,k,y,d
e,x,n,f,n,f,w,b,p,t,e,f,f,w,w,o,e,k,s,g
e,f,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,s,g
p,f,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,f,g,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
e,x,g,t,n,f,c,b,n,t,b,s,s,w,w,o,p,k,v,d
e,x,w,f,n,f,w,b,p,t,e,f,f,w,w,o,e,k,a,g
e,x,g,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,s,g
e,x,n,t,n,f,c,b,w,t,b,s,s,g,p,o,p,n,v,d
e,x,g,f,n,f,w,b,h,t,e,s,f,w,w,o,e,n,a,g
e,f,w,f,n,f,w,b,p,t,e,s,f,w,w,o,e,n,a,g
e,x,g,t,n,f,c,b,u,t,b,s,s,p,p,o,p,k,y,d
e,x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,n,g
e,x,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,n,m
e,f,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,s,g
e,f,w,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,f,n,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,s,g
e,f,w,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,x,n,f,n,f,w,b,h,t,e,s,f,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,s,g
e,b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
p,f,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,g
e,x,n,f,n,f,w,b,k,t,e,s,f,w,w,o,e,k,a,g
e,f,n,f,n,f,w,b,k,t,e,f,s,w,w,o,e,k,s,g
e,x,n,t,a,f,c,b,n,e,r,s,y,w,w,o,p,k,s,g
e,x,g,f,n,f,w,b,n,t,e,f,f,w,w,o,e,n,a,g
e,f,w,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
p,x,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,v,u
e,f,g,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,s,g
p,f,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,v,g
e,x,n,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,x,n,t,n,f,c,b,u,t,b,s,s,g,p,o,p,k,v,d
e,f,w,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
p,f,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,n,v,u
e,x,w,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
e,f,n,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,s,g
e,f,g,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,x,w,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
e,f,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,n,y,g
p,f,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,s,g
e,x,w,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,f,n,f,n,f,c,n,p,e,e,s,s,w,w,o,p,k,y,u
p,f,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,s,u
e,f,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,s,g
e,x,g,f,n,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
e,f,y,t,a,f,c,b,n,e,r,s,y,w,w,o,p,n,y,p
e,x,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,s,g
e,x,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
p,f,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,s,g
e,f,n,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,s,g
e,f,g,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,s,g
e,x,n,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,s,g
e,x,n,t,n,f,c,b,p,t,b,s,s,p,p,o,p,n,v,d
e,x,g,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g
e,f,g,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,s,g
e,x,n,t,n,f,c,b,n,t,b,s,s,w,w,o,p,k,y,d
e,x,w,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
p,x,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,s,u
e,f,g,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,s,g
e,x,n,t,n,f,c,b,p,t,b,s,s,w,g,o,p,k,v,d
e,x,y,t,a,f,c,b,p,e,r,s,y,w,w,o,p,n,y,g
e,x,g,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
e,x,n,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,x,n,t,n,f,c,b,p,t,b,s,s,g,w,o,p,k,y,d
e,x,w,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,a,g
p,f,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,s,u
p,f,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,x,n,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
e,x,g,f,n,f,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,f,n,f,n,f,w,b,p,t,e,f,f,w,w,o,e,k,s,g
e,x,w,f,n,f,w,b,k,t,e,f,s,w,w,o,e,k,a,g
p,f,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,s,g
e,b,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,x,n,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
p,f,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,s,u
e,x,g,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
e,x,g,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,x,w,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
p,f,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,f,w,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
e,x,n,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g
e,f,n,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g
e,x,n,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g
p,f,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,g
e,x,w,f,n,f,w,b,p,t,e,s,f,w,w,o,e,n,s,g
e,f,w,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
p,f,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,f,g,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
e,f,n,t,n,f,c,b,w,t,b,s,s,w,g,o,p,n,v,d
e,x,g,f,n,f,w,b,h,t,e,s,f,w,w,o,e,n,a,g
e,x,g,t,n,f,c,b,u,t,b,s,s,w,p,o,p,k,v,d
e,x,n,t,n,f,c,b,p,t,b,s,s,p,w,o,p,n,v,d
e,f,n,t,n,f,c,b,n,t,b,s,s,p,g,o,p,n,y,d
e,f,e,t,n,f,c,b,p,t,b,s,s,p,p,o,p,k,v,d
e,f,g,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,s,g
e,x,g,t,n,f,c,b,u,t,b,s,s,p,p,o,p,n,y,d
e,x,g,t,n,f,c,b,p,t,b,s,s,g,p,o,p,k,y,d
e,x,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,s,g
p,f,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,s,g
e,f,n,t,n,f,c,b,n,t,b,s,s,g,w,o,p,k,v,d
p,x,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,v,g
e,x,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,x,w,f,n,f,w,b,h,t,e,s,s,w,w,o,e,k,a,g
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,g
p,x,g,f,f,f,c,b,h,e,b,k,k,n,b,o,l,h,y,g
e,f,n,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
e,f,w,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,x,n,t,n,f,c,b,p,t,b,s,s,g,g,o,p,k,v,d
e,f,n,f,n,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
e,x,n,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g
p,x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,v,u
e,f,n,t,n,f,c,b,p,t,b,s,s,p,g,o,p,n,y,d
e,x,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,n,g
e,f,g,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
e,x,e,t,n,f,c,b,n,t,b,s,s,w,g,o,p,n,v,d
e,f,w,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
e,x,n,t,n,f,c,b,n,t,b,s,s,w,p,o,p,k,v,d
e,x,g,t,n,f,c,b,w,t,b,s,s,w,g,o,p,n,y,d
e,x,g,t,n,f,c,b,u,t,b,s,s,g,w,o,p,k,v,d
e,f,w,f,n,f,w,b,n,t,e,f,s,w,w,o,e,n,a,g
e,x,g,t,n,f,c,b,u,t,b,s,s,p,w,o,p,k,v,d
e,x,n,t,n,f,c,b,u,t,b,s,s,g,g,o,p,n,v,d
e,x,e,t,n,f,c,b,w,t,b,s,s,g,w,o,p,n,v,d
e,x,n,t,n,f,c,b,w,t,b,s,s,p,g,o,p,n,y,d
e,f,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,s,g
e,x,n,t,n,f,c,b,p,t,b,s,s,p,w,o,p,k,y,d
e,x,g,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g
e,f,w,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,x,g,t,n,f,c,b,p,t,b,s,s,w,p,o,p,k,v,d
p,f,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,s,u
e,x,e,t,n,f,c,b,p,t,b,s,s,p,g,o,p,k,v,d
e,f,w,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,f,g,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g
e,x,g,t,n,f,c,b,w,t,b,s,s,g,p,o,p,n,v,d
e,f,g,t,n,f,c,b,p,t,b,s,s,p,w,o,p,k,v,d
e,x,n,t,n,f,c,b,w,t,b,s,s,g,w,o,p,k,v,d
e,f,e,t,n,f,c,b,n,t,b,s,s,w,p,o,p,k,v,d
e,x,w,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g
e,x,e,t,n,f,c,b,w,t,b,s,s,w,g,o,p,n,v,d
e,x,n,t,n,f,c,b,p,t,b,s,s,w,p,o,p,k,v,d
e,x,g,t,n,f,c,b,u,t,b,s,s,w,w,o,p,k,y,d
e,x,n,t,n,f,c,b,n,t,b,s,s,p,w,o,p,n,y,d
e,x,y,t,a,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,e,t,n,f,c,b,w,t,b,s,s,g,g,o,p,n,v,d
p,f,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,v,g
e,x,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,s,g
e,x,e,t,n,f,c,b,u,t,b,s,s,g,g,o,p,n,y,d
e,x,n,t,n,f,c,b,w,t,b,s,s,p,p,o,p,k,v,d
e,x,w,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g
e,x,g,t,n,f,c,b,w,t,b,s,s,p,w,o,p,n,y,d
e,x,g,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,e,t,n,f,c,b,w,t,b,s,s,p,g,o,p,n,y,d
e,x,n,t,n,f,c,b,u,t,b,s,s,p,w,o,p,n,v,d
e,x,w,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,x,n,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,s,g
e,x,n,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,s,g
e,f,e,t,n,f,c,b,n,t,b,s,s,p,g,o,p,n,y,d
e,f,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,f,g,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,x,e,t,n,f,c,b,w,t,b,s,s,g,g,o,p,n,v,d
e,x,e,t,n,f,c,b,p,t,b,s,s,p,w,o,p,n,y,d
e,x,g,t,n,f,c,b,u,t,b,s,s,w,w,o,p,n,v,d
e,x,e,t,n,f,c,b,p,t,b,s,s,w,g,o,p,k,y,d
e,f,n,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,s,g
e,x,w,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
e,x,w,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
e,x,e,t,n,f,c,b,u,t,b,s,s,g,p,o,p,n,v,d
e,x,n,t,n,f,c,b,u,t,b,s,s,g,g,o,p,n,y,d
e,f,n,t,n,f,c,b,w,t,b,s,s,g,p,o,p,k,v,d
e,f,w,t,l,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,f,w,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
p,f,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,s,g
e,f,g,t,n,f,c,b,n,t,b,s,s,g,g,o,p,k,v,d
e,x,n,t,n,f,c,b,w,t,b,s,s,w,g,o,p,n,v,d
e,x,w,f,n,f,w,b,k,t,e,f,f,w,w,o,e,n,a,g
e,x,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,x,g,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,x,n,t,n,f,c,b,w,t,b,s,s,g,g,o,p,n,v,d
e,x,n,t,n,f,c,b,u,t,b,s,s,p,p,o,p,n,y,d
e,f,g,f,n,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
e,f,n,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
e,x,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,s,g
e,f,g,t,n,f,c,b,n,t,b,s,s,p,w,o,p,k,y,d
e,x,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,a,g
e,f,n,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
e,f,w,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,s,g
e,f,n,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
e,f,n,f,n,f,w,b,p,t,e,f,f,w,w,o,e,k,a,g
e,x,n,t,n,f,c,b,w,t,b,s,s,w,p,o,p,n,v,d
e,f,g,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
e,f,w,f,n,f,w,b,n,t,e,f,f,w,w,o,e,n,s,g
e,x,e,t,n,f,c,b,p,t,b,s,s,g,w,o,p,k,v,d
e,x,g,t,n,f,c,b,u,t,b,s,s,g,g,o,p,k,v,d
e,x,e,t,n,f,c,b,n,t,b,s,s,g,p,o,p,k,v,d
e,x,g,f,n,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
e,f,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
e,f,y,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,y,g
p,f,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,v,u
e,f,n,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
e,f,n,f,n,f,w,b,k,t,e,s,f,w,w,o,e,k,s,g
e,f,n,t,n,f,c,b,p,t,b,s,s,g,w,o,p,k,v,d
e,x,e,t,n,f,c,b,u,t,b,s,s,g,w,o,p,k,y,d
e,f,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,x,n,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
e,x,g,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,s,g
e,x,e,t,n,f,c,b,w,t,b,s,s,g,w,o,p,n,v,d
e,f,n,t,n,f,c,b,w,t,b,s,s,g,w,o,p,k,v,d
e,x,n,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,x,n,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
e,f,w,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g
e,f,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
p,f,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,s,u
e,b,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,x,n,t,n,f,c,b,w,t,b,s,s,g,w,o,p,n,v,d
e,f,g,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
e,x,n,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,s,g
e,x,n,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,f,w,t,l,f,w,n,n,t,b,s,s,w,w,o,p,u,v,d
e,x,w,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,x,w,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g
e,x,g,f,n,f,w,b,k,t,e,f,s,w,w,o,e,k,s,g
e,x,e,t,n,f,c,b,p,t,b,s,s,w,p,o,p,k,v,d
e,f,n,t,n,f,c,b,n,t,b,s,s,g,p,o,p,k,v,d
e,x,n,t,n,f,c,b,n,t,b,s,s,w,w,o,p,k,v,d
e,f,w,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
e,f,n,f,n,f,w,b,n,t,e,f,s,w,w,o,e,n,s,g
p,f,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,f,n,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,x,g,t,n,f,c,b,w,t,b,s,s,g,g,o,p,n,y,d
e,x,g,t,n,f,c,b,n,t,b,s,s,g,g,o,p,n,v,d
e,x,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,x,g,t,n,f,c,b,w,t,b,s,s,p,p,o,p,n,v,d
e,x,e,t,n,f,c,b,u,t,b,s,s,p,p,o,p,n,v,d
e,x,g,t,n,f,c,b,p,t,b,s,s,g,p,o,p,k,y,d
e,x,g,t,n,f,c,b,u,t,b,s,s,p,w,o,p,n,v,d
e,x,n,t,n,f,c,b,p,t,b,s,s,p,g,o,p,k,v,d
p,x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,v,g
e,x,n,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
e,x,n,t,n,f,c,b,w,t,b,s,s,p,p,o,p,n,v,d
e,x,g,t,n,f,c,b,p,t,b,s,s,w,g,o,p,n,y,d
p,f,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,s,g
e,x,g,t,n,f,c,b,u,t,b,s,s,w,g,o,p,k,y,d
e,x,g,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g
e,x,e,t,n,f,c,b,u,t,b,s,s,g,g,o,p,k,v,d
e,f,n,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,s,g
e,f,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,a,g
e,f,n,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
e,x,e,t,n,f,c,b,w,t,b,s,s,w,g,o,p,n,v,d
e,f,n,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g
e,f,n,t,n,f,c,b,n,t,b,s,s,p,p,o,p,n,v,d
e,f,w,f,n,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
e,x,n,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
e,f,n,f,n,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g
p,x,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,v,u
e,x,n,t,n,f,c,b,p,t,b,s,s,w,w,o,p,k,y,d
e,f,n,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,s,g
p,f,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,s,g
e,x,n,t,n,f,c,b,n,t,b,s,s,p,g,o,p,n,v,d
e,x,g,t,n,f,c,b,u,t,b,s,s,w,p,o,p,n,y,d
e,f,n,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g
e,x,e,t,n,f,c,b,p,t,b,s,s,g,g,o,p,k,v,d
